chr1	40361098	40367928	MYCL	0	-
chr1	87794151	87814606	LMO4	0	+
chr1	92940319	92952433	GFI1	0	-
chr1	150547032	150552066	MCL1	0	-
chr1	204485511	204542871	MDM4	0	+
chr2	16080686	16087129	MYCN	0	+
chr2	121493199	121750229	GLI2	0	+
chr5	1253262	1295184	TERT	0	-
chr5	122424816	122529960	PRDM6	0	+
chr7	55086714	55324313	EGFR	0	+
chr7	92234235	92465908	CDK6	0	-
chr7	116312444	116438440	MET	0	+
chr8	38268656	38326352	FGFR1	0	-
chr8	128747680	128753674	MYC	0	+
chr9	21967751	22009362	CDKN2A/B	0	-
chr9	98205262	98279339	PTCH1	0	-
chr9	135820932	135867083	GFI1B	0	+
chr10	89622870	89731687	PTEN	0	+
chr10	104263744	104393292	SUFU	0	+
chr11	69455855	69469242	CCND1	0	+
chr12	4382938	4414516	CCND2	0	+
chr12	25357723	25403870	KRAS	0	-
chr12	58141510	58149796	CDK4	0	-
chr12	69201956	69239214	MDM2	0	+
chr13	48877887	49056122	RB1	0	+
chr14	57267425	57277197	OTX2	0	-
chr17	7565097	7590856	TP53	0	-
chr17	29421945	29709134	NF1	0	+
chr17	37844167	37886679	ERBB2	0	+
chr17	58677544	58741849	PPM1D	0	+
chr19	30302805	30315215	CCNE1	0	+
